"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39760 - Image
11/22/2020 22:18:48
http://10.37.248.147/dr/202011/20201122/4___07W/0074___07WW2020112222184800SV_02.jpg
 07W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50","
 HV17323 - Image
11/22/2020 19:08:47
http://10.37.248.147/dr/202011/20201122/4___07W/0074___07WW2020112219084700SV_02.jpg
 07W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45827 - Image
11/18/2020 21:36:05
http://10.37.248.147/njta/202011/20201118/013_04w/013013_04wW2020111821360511SV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV39386 - Image
11/18/2020 21:27:08
http://10.37.248.147/njta/202011/20201118/012_10w/013012_10wW2020111821270863SV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV37747 - Image
11/18/2020 21:21:43
http://10.37.248.147/njta/202011/20201118/07A_10w/01307A_10wW2020111821214383SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV39868 - Image
11/18/2020 21:01:45
http://10.37.248.147/njta/202011/20201118/014_25w/013014_25wW2020111821014507SV_02.jpg
 25w - 14 
OPEN
$13.40
$50.00
$0.00
$63.40","
 HV44207 - Image
11/18/2020 20:55:24
http://10.37.248.147/njta/202011/20201118/006_07w/013006_07wW2020111820552432SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV13409 - Image
11/18/2020 21:27:46
http://10.37.248.147/njta/202011/20201118/012_14w/013012_14wW2020111821274641SV_02.jpg
 14w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV37600 - Image
11/18/2020 20:55:37
http://10.37.248.147/njta/202011/20201118/18W_08w/01318W_08wW2020111820553791SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV13478 - Image
11/18/2020 20:44:12
http://10.37.248.147/njta/202011/20201118/15W_13w/01315W_13wW2020111820441281SV_02.jpg
 13w - 15W
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV17632 - Image
11/18/2020 20:43:01
http://10.37.248.147/njta/202011/20201118/18E_15w/01318E_15wW2020111820430199SV_02.jpg
 15w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV36683 - Image
11/18/2020 20:38:48
http://10.37.248.147/njta/202011/20201118/18W_08w/01318W_08wW2020111820384890SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19417 - Image
11/18/2020 21:07:14
http://10.37.248.147/drjt/202011/20201118/O78_11W/020O78_11WN2020111821071413SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV44474 - Image
11/18/2020 19:10:41
http://10.37.248.147/drjt/202011/20201118/O78_11W/020O78_11WN2020111819104122SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43590 - Image
11/18/2020 20:50:21
http://10.37.248.147/njta/202011/20201118/18W_08w/01318W_08wW2020111820502112SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV44476 - Image
11/18/2020 20:30:58
http://10.37.248.147/njta/202011/20201118/001_15w/013001_15wW2020111820305810SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV36332 - Image
11/18/2020 19:32:25
http://10.37.248.147/njta/202011/20201118/012_14w/013012_14wW2020111819322550SV_02.jpg
 14w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV45282 - Image
11/18/2020 19:29:17
http://10.37.248.147/njta/202011/20201118/010_05w/013010_05wW2020111819291714SV_02.jpg
 05w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV43797 - Image
11/18/2020 19:11:20
http://10.37.248.147/njta/202011/20201118/18W_08w/01318W_08wW2020111819112090SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39915 - Image
11/18/2020 20:10:04
http://10.37.248.147/drjt/202011/20201118/ODW_21W/020ODW_21WN2020111820100422SV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV38203 - Image
11/18/2020 14:37:11
http://10.37.248.147/drjt/202011/20201118/O78_11W/020O78_11WN2020111814371106SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV36513 - Image
11/18/2020 12:16:57
http://10.37.248.147/drjt/202011/20201118/O78_12W/020O78_12WN2020111812165740SV_02.jpg
 12W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV20283 - Image
11/18/2020 11:16:04
http://10.37.248.147/drjt/202011/20201118/O78_11W/020O78_11WN2020111811160432SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV39897 - Image
11/18/2020 03:53:15
http://10.37.248.147/drjt/202011/20201118/DWG_02W/020DWG_02WN2020111803531598SV_02.jpg
 02W - DWG
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19521 - Image
11/18/2020 20:01:42
http://10.37.248.147/njta/202011/20201118/004_09w/013004_09wW2020111820014274SV_02.jpg
 09w - 4  
OPEN
$13.40
$50.00
$0.00
$63.40","
 HV37449 - Image
11/18/2020 19:15:11
http://10.37.248.147/njta/202011/20201118/004_07w/013004_07wW2020111819151102SV_02.jpg
 07w - 4  
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV43264 - Image
11/18/2020 19:07:51
http://10.37.248.147/njta/202011/20201118/15E_12w/01315E_12wW2020111819075188SV_02.jpg
 12w - 15E
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV01707 - Image
11/18/2020 18:31:01
http://10.37.248.147/njta/202011/20201118/001_15w/013001_15wW2020111818310129SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV45366 - Image
11/18/2020 18:20:57
http://10.37.248.147/njta/202011/20201118/013_04w/013013_04wW2020111818205720SV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20860 - Image
11/18/2020 19:16:04
http://10.37.248.147/njta/202011/20201118/012_14w/013012_14wW2020111819160439SV_02.jpg
 14w - 12 
OPEN
$14.90
$50.00
$0.00
$64.90","
 HV37449 - Image
11/18/2020 18:07:36
http://10.37.248.147/njta/202011/20201118/15E_12w/01315E_12wW2020111818073604SV_02.jpg
 12w - 15E
OPEN
$14.15
$50.00
$0.00
$64.15"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV44534 - Image
11/18/2020 18:32:05
http://10.37.248.147/njta/202011/20201118/001_16w/013001_16wW2020111818320541SV_02.jpg
 16w - 1  
OPEN
$35.70
$50.00
$0.00
$85.70","
 HV43468 - Image
11/18/2020 17:17:28
http://10.37.248.147/njta/202011/20201118/18W_08w/01318W_08wW2020111817172839SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV39463 - Image
11/18/2020 16:57:28
http://10.37.248.147/njta/202011/20201118/010_03w/013010_03wW2020111816572821SV_02.jpg
 03w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV36332 - Image
11/18/2020 16:29:37
http://10.37.248.147/njta/202011/20201118/001_16w/013001_16wW2020111816293700SV_02.jpg
 16w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV44090 - Image
11/18/2020 16:11:05
http://10.37.248.147/njta/202011/20201118/001_15w/013001_15wW2020111816110531SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV14762 - Image
11/18/2020 18:18:21
http://10.37.248.147/drjt/202011/20201118/ODW_21W/020ODW_21WN2020111818182154SV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV20981 - Image
11/18/2020 13:37:02
http://10.37.248.147/drjt/202011/20201118/ODW_21W/020ODW_21WN2020111813370299SV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39262 - Image
11/18/2020 17:25:06
http://10.37.248.147/njta/202011/20201118/012_08w/013012_08wW2020111817250670SV_02.jpg
 08w - 12 
OPEN
$3.35
$50.00
$0.00
$53.35","
 HV19536 - Image
11/18/2020 17:11:55

 12w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV01707 - Image
11/18/2020 17:05:00

 09w - 10 
OPEN
$8.65
$50.00
$0.00
$58.65","
 HV36731 - Image
11/18/2020 16:57:30
http://10.37.248.147/njta/202011/20201118/15W_12w/01315W_12wW2020111816573076SV_02.jpg
 12w - 15W
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV45482 - Image
11/18/2020 16:51:53
http://10.37.248.147/njta/202011/20201118/18W_09w/01318W_09wW2020111816515345SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19805 - Image
11/18/2020 16:41:21
http://10.37.248.147/njta/202011/20201118/012_14w/013012_14wW2020111816412178SV_02.jpg
 14w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV21073 - Image
11/18/2020 14:32:07
http://10.37.248.147/njta/202011/20201118/012_09w/013012_09wW2020111814320716SV_02.jpg
 09w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV37600 - Image
11/18/2020 14:22:56
http://10.37.248.147/njta/202011/20201118/010_09w/013010_09wW2020111814225603SV_02.jpg
 09w - 10 
OPEN
$10.95
$50.00
$0.00
$60.95","
 HV17689 - Image
11/18/2020 14:00:21

 04w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV19906 - Image
11/18/2020 12:51:09
http://10.37.248.147/njta/202011/20201118/008_03w/013008_03wW2020111812510935SV_02.jpg
 03w - 8  
OPEN
$14.15
$50.00
$0.00
$64.15"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36332 - Image
11/18/2020 16:35:23
http://10.37.248.147/drba/202011/20201118/DMB_11_/016DMB_11_W2020111816352300SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV44749 - Image
11/18/2020 16:34:20
http://10.37.248.147/drba/202011/20201118/DMB_02_/016DMB_02_W2020111816342000SV_02.jpg
 02 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV37904 - Image
11/18/2020 16:31:22
http://10.37.248.147/drba/202011/20201118/DMB_11_/016DMB_11_W2020111816312200SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV38226 - Image
11/18/2020 03:39:55
http://10.37.248.147/drba/202011/20201118/DMB_03_/016DMB_03_W2020111803395500SV_02.jpg
 03 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV44749 - Image
11/18/2020 16:29:28
http://10.37.248.147/njta/202011/20201118/001_16w/013001_16wW2020111816292836SV_02.jpg
 16w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV17702 - Image
11/18/2020 16:06:44
http://10.37.248.147/njta/202011/20201118/012_08w/013012_08wW2020111816064420SV_02.jpg
 08w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV01712 - Image
11/18/2020 15:37:28
http://10.37.248.147/njta/202011/20201118/012_08w/013012_08wW2020111815372852SV_02.jpg
 08w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV15792 - Image
11/18/2020 15:27:11
http://10.37.248.147/njta/202011/20201118/005_03w/013005_03wW2020111815271157SV_02.jpg
 03w - 5  
OPEN
$4.10
$50.00
$0.00
$54.10","
 HV38105 - Image
11/18/2020 15:24:02
http://10.37.248.147/njta/202011/20201118/012_11w/013012_11wW2020111815240210SV_02.jpg
 11w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43778 - Image
11/18/2020 15:51:12
http://10.37.248.147/njta/202011/20201118/001_16w/013001_16wW2020111815511232SV_02.jpg
 16w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV39185 - Image
11/18/2020 15:01:22
http://10.37.248.147/njta/202011/20201118/010_09w/013010_09wW2020111815012203SV_02.jpg
 09w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV40269 - Image
11/18/2020 14:52:54
http://10.37.248.147/njta/202011/20201118/006_08w/013006_08wW2020111814525436SV_02.jpg
 08w - 6  
OPEN
$28.70
$50.00
$0.00
$78.70","
 HV45920 - Image
11/18/2020 14:45:36
http://10.37.248.147/njta/202011/20201118/012_14w/013012_14wW2020111814453656SV_02.jpg
 14w - 12 
OPEN
$14.90
$50.00
$0.00
$64.90","
 HV37141 - Image
11/18/2020 14:40:21
http://10.37.248.147/njta/202011/20201118/006_07w/013006_07wW2020111814402127SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45294 - Image
11/18/2020 15:21:25
http://10.37.248.147/drba/202011/20201118/DMB_11_/016DMB_11_W2020111815212500SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV38976 - Image
11/18/2020 15:15:48
http://10.37.248.147/drba/202011/20201118/DMB_03_/016DMB_03_W2020111815154800SV_02.jpg
 03 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV38947 - Image
11/18/2020 11:08:44
http://10.37.248.147/drba/202011/20201118/DMB_10_/016DMB_10_W2020111811084400SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV21080 - Image
11/18/2020 10:42:18
http://10.37.248.147/drba/202011/20201118/DMB_10_/016DMB_10_W2020111810421800SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV01661 - Image
11/18/2020 08:09:25
http://10.37.248.147/drba/202011/20201118/DMB_10_/016DMB_10_W2020111808092500SV_02.jpg
 10 - DMB
OPEN
$28.00
$25.00
$0.00
$53.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36731 - Image
11/18/2020 15:18:19
http://10.37.248.147/njta/202011/20201118/06A_01s/01306A_01sS2020111815181954SV_02.jpg
 01s - 6A 
OPEN
$7.40
$50.00
$0.00
$57.40","
 HV14762 - Image
11/18/2020 15:06:42
http://10.37.248.147/njta/202011/20201118/18W_09w/01318W_09wW2020111815064210SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV20648 - Image
11/18/2020 15:05:29
http://10.37.248.147/njta/202011/20201118/012_11w/013012_11wW2020111815052994SV_02.jpg
 11w - 12 
OPEN
$8.65
$50.00
$0.00
$58.65","
 HV13478 - Image
11/18/2020 14:47:25
http://10.37.248.147/njta/202011/20201118/18W_08w/01318W_08wW2020111814472503SV_02.jpg
 08w - 18W
OPEN
$67.65
$50.00
$0.00
$117.65","
 HV38141 - Image
11/18/2020 13:54:16
http://10.37.248.147/njta/202011/20201118/18W_09w/01318W_09wW2020111813541683SV_02.jpg
 09w - 18W
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43231 - Image
11/18/2020 14:25:35
http://10.37.248.147/njta/202011/20201118/012_13w/013012_13wW2020111814253587SV_02.jpg
 13w - 12 
OPEN
$11.20
$50.00
$0.00
$61.20","
 HV43009 - Image
11/18/2020 13:56:37
http://10.37.248.147/njta/202011/20201118/18W_09w/01318W_09wW2020111813563705SV_02.jpg
 09w - 18W
OPEN
$21.20
$50.00
$0.00
$71.20","
 HV46124 - Image
11/18/2020 13:16:34
http://10.37.248.147/njta/202011/20201118/010_05w/013010_05wW2020111813163477SV_02.jpg
 05w - 10 
OPEN
$5.15
$50.00
$0.00
$55.15","
 HV39185 - Image
11/18/2020 13:12:28
http://10.37.248.147/njta/202011/20201118/012_16w/013012_16wW2020111813122809SV_02.jpg
 16w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV21080 - Image
11/18/2020 10:36:22
http://10.37.248.147/njta/202011/20201118/001_15w/013001_15wW2020111810362248SV_02.jpg
 15w - 1  
OPEN
$35.70
$50.00
$0.00
$85.70"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV37401 - Image
11/18/2020 12:47:32
http://10.37.248.147/njta/202011/20201118/012_11w/013012_11wW2020111812473231SV_02.jpg
 11w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV40711 - Image
11/18/2020 11:55:10
http://10.37.248.147/njta/202011/20201118/18W_09w/01318W_09wW2020111811551054SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV17694 - Image
11/18/2020 11:26:40
http://10.37.248.147/njta/202011/20201118/013_04w/013013_04wW2020111811264064SV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV44749 - Image
11/18/2020 11:25:46
http://10.37.248.147/njta/202011/20201118/18W_09w/01318W_09wW2020111811254689SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV45619 - Image
11/18/2020 11:24:15
http://10.37.248.147/njta/202011/20201118/006_07w/013006_07wW2020111811241566SV_02.jpg
 07w - 6  
OPEN
$3.95
$50.00
$0.00
$53.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV37528 - Image
11/18/2020 12:36:08
http://10.37.248.147/drjt/202011/20201118/O78_11W/020O78_11WN2020111812360840SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV38638 - Image
11/18/2020 11:31:01
http://10.37.248.147/drjt/202011/20201118/O78_11W/020O78_11WN2020111811310142SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV42983 - Image
11/18/2020 05:02:28
http://10.37.248.147/drjt/202011/20201118/ODW_21W/020ODW_21WN2020111805022806SV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV02172 - Image
11/18/2020 03:49:29
http://10.37.248.147/drjt/202011/20201118/O78_11W/020O78_11WN2020111803492930SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV19417 - Image
11/18/2020 00:32:51
http://10.37.248.147/drjt/202011/20201118/O78_11W/020O78_11WN2020111800325199SV_10.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20981 - Image
11/18/2020 12:32:01
http://10.37.248.147/njta/202011/20201118/014_12w/013014_12wW2020111812320127SV_02.jpg
 12w - 14 
OPEN
$9.40
$50.00
$0.00
$59.40","
 HV21020 - Image
11/18/2020 12:22:46
http://10.37.248.147/njta/202011/20201118/19W_06s/01319W_06sS2020111812224602SV_02.jpg
 06s - 19W
OPEN
$1.95
$50.00
$0.00
$51.95","
 HV37528 - Image
11/18/2020 11:36:27
http://10.37.248.147/njta/202011/20201118/014_22w/013014_22wW2020111811362721SV_02.jpg
 22w - 14 
OPEN
$12.70
$50.00
$0.00
$62.70","
 HV19233 - Image
11/18/2020 11:13:21
http://10.37.248.147/njta/202011/20201118/07A_12w/01307A_12wW2020111811132199SV_02.jpg
 12w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV38947 - Image
11/18/2020 11:03:21
http://10.37.248.147/njta/202011/20201118/001_16w/013001_16wW2020111811032122SV_02.jpg
 16w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20981 - Image
11/18/2020 11:17:58
http://10.37.248.147/njta/202011/20201118/14A_09w/01314A_09wW2020111811175837SV_02.jpg
 09w - 14A
OPEN
$21.00
$50.00
$0.00
$71.00","
 HV40693 - Image
11/18/2020 10:41:00
http://10.37.248.147/njta/202011/20201118/012_10w/013012_10wW2020111810410084SV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV37079 - Image
11/18/2020 09:26:27
http://10.37.248.147/njta/202011/20201118/07A_10w/01307A_10wW2020111809262709SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV20296 - Image
11/18/2020 04:25:06
http://10.37.248.147/njta/202011/20201118/07A_12w/01307A_12wW2020111804250653SV_02.jpg
 12w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV37050 - Image
11/18/2020 00:09:38
http://10.37.248.147/njta/202011/20201118/013_08w/013013_08wW2020111800093877SV_02.jpg
 08w - 13 
OPEN
$8.30
$50.00
$0.00
$58.30"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV38611 - Image
11/18/2020 10:31:27
http://10.37.248.147/njta/202011/20201118/15E_12w/01315E_12wW2020111810312717SV_02.jpg
 12w - 15E
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV15101 - Image
11/18/2020 09:02:22
http://10.37.248.147/njta/202011/20201118/18W_08w/01318W_08wW2020111809022251SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV19687 - Image
11/18/2020 08:56:12
http://10.37.248.147/njta/202011/20201118/006_07w/013006_07wW2020111808561252SV_02.jpg
 07w - 6  
OPEN
$59.10
$50.00
$0.00
$109.10","
 HV45366 - Image
11/18/2020 08:24:04
http://10.37.248.147/njta/202011/20201118/19W_01s/01319W_01sS2020111808240482SV_02.jpg
 01s - 19W
OPEN
$5.85
$50.00
$0.00
$55.85","
 HV45366 - Image
11/18/2020 07:47:38
http://10.37.248.147/njta/202011/20201118/18W_09w/01318W_09wW2020111807473842SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV37127 - Image
11/18/2020 09:05:18

 05w - 2  
OPEN
$30.85
$50.00
$0.00
$80.85","
 HV01661 - Image
11/18/2020 08:03:23
http://10.37.248.147/njta/202011/20201118/001_15w/013001_15wW2020111808032346SV_02.jpg
 15w - 1  
OPEN
$40.20
$50.00
$0.00
$90.20","
 HV43778 - Image
11/18/2020 07:26:23
http://10.37.248.147/njta/202011/20201118/005_04w/013005_04wW2020111807262316SV_02.jpg
 04w - 5  
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV37335 - Image
11/18/2020 06:53:44
http://10.37.248.147/njta/202011/20201118/006_07w/013006_07wW2020111806534485SV_02.jpg
 07w - 6  
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV40608 - Image
11/18/2020 06:07:39
http://10.37.248.147/njta/202011/20201118/012_10w/013012_10wW2020111806073924SV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19536 - Image
11/18/2020 08:56:47
http://10.37.248.147/dr/202011/20201118/1___10W/0071___10WW2020111808564700SV_02.jpg
 10W - BRB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV37528 - Image
11/18/2020 07:40:22
http://10.37.248.147/njta/202011/20201118/012_11w/013012_11wW2020111807402255SV_02.jpg
 11w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV37127 - Image
11/18/2020 07:37:10
http://10.37.248.147/njta/202011/20201118/004_06w/013004_06wW2020111807371049SV_02.jpg
 06w - 4  
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV36620 - Image
11/18/2020 07:21:49
http://10.37.248.147/njta/202011/20201118/010_06w/013010_06wW2020111807214918SV_02.jpg
 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV20132 - Image
11/18/2020 05:04:21
http://10.37.248.147/njta/202011/20201118/19W_02s/01319W_02sS2020111805042180SV_02.jpg
 02s - 19W
OPEN
$5.60
$50.00
$0.00
$55.60","
 HV36981 - Image
11/18/2020 04:28:26
http://10.37.248.147/njta/202011/20201118/18W_09w/01318W_09wW2020111804282636SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
