"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43627 - Image
11/06/2020 19:02:28

 07w - 3  
OPEN
$25.55
$50.00
$0.00
$75.55","
 HV20449 - Image
11/06/2020 18:37:32
http://10.37.248.147/njta/202011/20201106/013_11w/013013_11wW2020110618373268SV_02.jpg
 11w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV36717 - Image
11/06/2020 17:28:42
http://10.37.248.147/njta/202011/20201106/001_15w/013001_15wW2020110617284281SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV36879 - Image
11/06/2020 17:21:36

 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV37711 - Image
11/06/2020 17:16:00
http://10.37.248.147/njta/202011/20201106/15W_07w/01315W_07wW2020110617160025SV_02.jpg
 07w - 15W
OPEN
$11.40
$50.00
$0.00
$61.40"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV17791 - Image
11/06/2020 17:08:39
http://10.37.248.147/njta/202011/20201106/07A_10w/01307A_10wW2020110617083930SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV38085 - Image
11/06/2020 17:07:01
http://10.37.248.147/njta/202011/20201106/07A_10w/01307A_10wW2020110617070152SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV20020 - Image
11/06/2020 17:05:48

 09w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV39244 - Image
11/06/2020 16:58:47

 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV20115 - Image
11/06/2020 16:51:30
http://10.37.248.147/njta/202011/20201106/004_09w/013004_09wW2020110616513036SV_02.jpg
 09w - 4  
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20981 - Image
11/06/2020 16:40:20
http://10.37.248.147/njta/202011/20201106/001_16w/013001_16wW2020110616402066SV_02.jpg
 16w - 1  
OPEN
$35.70
$50.00
$0.00
$85.70","
 HV21043 - Image
11/06/2020 16:21:03
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110616210375SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV37210 - Image
11/06/2020 16:19:15
http://10.37.248.147/njta/202011/20201106/16W_07w/01316W_07wW2020110616191569SV_02.jpg
 07w - 16W
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV20578 - Image
11/06/2020 15:40:01

 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV19562 - Image
11/06/2020 15:38:38
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110615383830SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV17807 - Image
11/06/2020 16:24:08
http://10.37.248.147/njta/202011/20201106/07A_10w/01307A_10wW2020110616240850SV_02.jpg
 10w - 7A 
OPEN
$10.95
$50.00
$0.00
$60.95","
 HV20429 - Image
11/06/2020 07:59:45
http://10.37.248.147/njta/202011/20201106/17S_01s/01317S_01sS2020110607594502SV_02.jpg
 01s - 17S
OPEN
$7.60
$50.00
$0.00
$57.60","
 HV21084 - Image
11/06/2020 07:19:30
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110607193068SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV37945 - Image
11/06/2020 06:26:46
http://10.37.248.147/njta/202011/20201106/18W_08w/01318W_08wW2020110606264649SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20634 - Image
11/06/2020 15:31:14

 04w - 6  
OPEN
$28.70
$50.00
$0.00
$78.70","
 HV19408 - Image
11/06/2020 14:30:05
http://10.37.248.147/njta/202011/20201106/013_08w/013013_08wW2020110614300596SV_02.jpg
 08w - 13 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV38478 - Image
11/06/2020 14:08:07
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110614080762SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV20444 - Image
11/06/2020 13:39:29

 14w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV46129 - Image
11/06/2020 12:36:35
http://10.37.248.147/njta/202011/20201106/001_15w/013001_15wW2020110612363552SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19873 - Image
11/06/2020 12:29:15
http://10.37.248.147/njta/202011/20201106/001_15w/013001_15wW2020110612291501SV_02.jpg
 15w - 1  
OPEN
$25.35
$50.00
$0.00
$75.35","
 HV02254 - Image
11/06/2020 12:20:26
http://10.37.248.147/njta/202011/20201106/07A_13w/01307A_13wW2020110612202610SV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV19843 - Image
11/06/2020 11:57:11
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110611571193SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV19324 - Image
11/06/2020 11:45:19
http://10.37.248.147/njta/202011/20201106/013_08w/013013_08wW2020110611451966SV_02.jpg
 08w - 13 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV38118 - Image
11/06/2020 11:30:39
http://10.37.248.147/njta/202011/20201106/001_15w/013001_15wW2020110611303959SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV38118 - Image
11/06/2020 11:36:55
http://10.37.248.147/drba/202011/20201106/DMB_04_/016DMB_04_W2020110611365500SV_02.jpg
 04 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV44474 - Image
11/06/2020 11:08:23

 14w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV19276 - Image
11/06/2020 11:07:22
http://10.37.248.147/njta/202011/20201106/07A_13w/01307A_13wW2020110611072223SV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV39461 - Image
11/06/2020 10:46:24
http://10.37.248.147/njta/202011/20201106/008_03w/013008_03wW2020110610462448SV_02.jpg
 03w - 8  
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV14825 - Image
11/06/2020 10:27:24
http://10.37.248.147/njta/202011/20201106/013_08w/013013_08wW2020110610272413SV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV01670 - Image
11/06/2020 10:05:35
http://10.37.248.147/njta/202011/20201106/010_06w/013010_06wW2020110610053543SV_02.jpg
 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV13426 - Image
11/06/2020 09:46:30
http://10.37.248.147/njta/202011/20201106/014_13w/013014_13wW2020110609463054SV_02.jpg
 13w - 14 
OPEN
$13.40
$50.00
$0.00
$63.40","
 HV44263 - Image
11/06/2020 07:38:41
http://10.37.248.147/njta/202011/20201106/07A_13w/01307A_13wW2020110607384129SV_02.jpg
 13w - 7A 
OPEN
$48.70
$50.00
$0.00
$98.70","
 HV40797 - Image
11/06/2020 07:26:29
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110607262904SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV21043 - Image
11/06/2020 06:20:37
http://10.37.248.147/njta/202011/20201106/012_13w/013012_13wW2020110606203778SV_02.jpg
 13w - 12 
OPEN
$11.20
$50.00
$0.00
$61.20","
 HV19929 - Image
11/06/2020 05:39:27
http://10.37.248.147/njta/202011/20201106/18W_08w/01318W_08wW2020110605392718SV_02.jpg
 08w - 18W
OPEN
$25.55
$50.00
$0.00
$75.55"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV38714 - Image
11/06/2020 05:47:34
http://10.37.248.147/dr/202011/20201106/3___05W/0073___05WW2020110605473400SV_02.jpg
 05W - WWB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV38985 - Image
11/06/2020 05:25:56

 14w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV46036 - Image
11/06/2020 05:03:46
http://10.37.248.147/njta/202011/20201106/012_10w/013012_10wW2020110605034692SV_02.jpg
 10w - 12 
OPEN
$14.90
$50.00
$0.00
$64.90","
 HV21083 - Image
11/06/2020 04:26:30
http://10.37.248.147/njta/202011/20201106/06A_01s/01306A_01sS2020110604263075SV_02.jpg
 01s - 6A 
OPEN
$7.40
$50.00
$0.00
$57.40","
 HV21083 - Image
11/06/2020 04:06:28
http://10.37.248.147/njta/202011/20201106/006_07w/013006_07wW2020110604062875SV_02.jpg
 07w - 6  
OPEN
$28.70
$50.00
$0.00
$78.70","
 HV38327 - Image
11/06/2020 03:29:46
http://10.37.248.147/njta/202011/20201106/18W_08w/01318W_08wW2020110603294651SV_02.jpg
 08w - 18W
OPEN
$17.80
$50.00
$0.00
$67.80"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV40252 - Image
11/06/2020 03:55:33
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110603553394SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV37182 - Image
11/06/2020 02:42:50
http://10.37.248.147/njta/202011/20201106/18E_11w/01318E_11wW2020110602425051SV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV02180 - Image
11/06/2020 01:17:04
http://10.37.248.147/njta/202011/20201106/07A_10w/01307A_10wW2020110601170406SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV15155 - Image
11/06/2020 00:29:26
http://10.37.248.147/njta/202011/20201106/013_08w/013013_08wW2020110600292663SV_02.jpg
 08w - 13 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV44263 - Image
11/06/2020 00:27:07
http://10.37.248.147/njta/202011/20201106/18W_08w/01318W_08wW2020110600270794SV_02.jpg
 08w - 18W
OPEN
$43.05
$50.00
$0.00
$93.05"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19717 - Image
11/06/2020 02:40:52
http://10.37.248.147/njta/202011/20201106/008_03w/013008_03wW2020110602405222SV_02.jpg
 03w - 8  
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV20660 - Image
11/06/2020 02:14:51
http://10.37.248.147/njta/202011/20201106/001_15w/013001_15wW2020110602145145SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV36795 - Image
11/06/2020 02:04:58
http://10.37.248.147/njta/202011/20201106/18E_11w/01318E_11wW2020110602045836SV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV38984 - Image
11/06/2020 01:49:09
http://10.37.248.147/njta/202011/20201106/010_09w/013010_09wW2020110601490939SV_02.jpg
 09w - 10 
OPEN
$8.65
$50.00
$0.00
$58.65","
 HV19381 - Image
11/06/2020 01:26:17
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110601261742SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20278 - Image
11/06/2020 01:14:56
http://10.37.248.147/njta/202011/20201106/012_14w/013012_14wW2020110601145606SV_02.jpg
 14w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV45787 - Image
11/06/2020 01:12:21
http://10.37.248.147/njta/202011/20201106/06A_01s/01306A_01sS2020110601122170SV_02.jpg
 01s - 6A 
OPEN
$7.40
$50.00
$0.00
$57.40","
 HV45787 - Image
11/06/2020 00:58:39

 04w - 7  
OPEN
$25.55
$50.00
$0.00
$75.55","
 HV46177 - Image
11/06/2020 00:55:40
http://10.37.248.147/njta/202011/20201106/19W_01s/01319W_01sS2020110600554057SV_02.jpg
 01s - 19W
OPEN
$5.60
$50.00
$0.00
$55.60","
 HV13491 - Image
11/06/2020 00:30:57

 12w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV14982 - Image
11/05/2020 23:58:07
http://10.37.248.147/njta/202011/20201105/18E_11w/01318E_11wW2020110523580790SV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV46177 - Image
11/05/2020 23:52:54
http://10.37.248.147/njta/202011/20201105/18W_09w/01318W_09wW2020110523525425SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV36501 - Image
11/05/2020 23:43:39
http://10.37.248.147/njta/202011/20201105/013_04w/013013_04wW2020110523433945SV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV20981 - Image
11/05/2020 23:35:58
http://10.37.248.147/njta/202011/20201105/18W_09w/01318W_09wW2020110523355806SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV28705 - Image
11/05/2020 23:34:36
http://10.37.248.147/njta/202011/20201105/07A_10w/01307A_10wW2020110523343639SV_02.jpg
 10w - 7A 
OPEN
$11.40
$50.00
$0.00
$61.40"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV17603 - Image
11/05/2020 23:42:07
http://10.37.248.147/njta/202011/20201105/16W_07w/01316W_07wW2020110523420728SV_02.jpg
 07w - 16W
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV13306 - Image
11/05/2020 23:36:39
http://10.37.248.147/njta/202011/20201105/006_07w/013006_07wW2020110523363951SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV36466 - Image
11/05/2020 22:59:00
http://10.37.248.147/njta/202011/20201105/013_08w/013013_08wW2020110522590055SV_02.jpg
 08w - 13 
OPEN
$11.75
$50.00
$0.00
$61.75"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45946 - Image
11/05/2020 23:35:32
http://10.37.248.147/drjt/202011/20201105/ODW_21W/020ODW_21WN2020110523353217SV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV18502 - Image
11/05/2020 22:03:03
http://10.37.248.147/drjt/202011/20201105/TM__04W/020TM__04WN2020110522030378SV_02.jpg
 04W - T-M
OPEN
$16.00
$30.00
$0.00
$46.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20015 - Image
11/05/2020 23:34:12
http://10.37.248.147/njta/202011/20201105/07A_10w/01307A_10wW2020110523341273SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV44493 - Image
11/05/2020 22:59:47
http://10.37.248.147/njta/202011/20201105/07A_10w/01307A_10wW2020110522594776SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV37255 - Image
11/05/2020 22:48:28
http://10.37.248.147/njta/202011/20201105/001_16w/013001_16wW2020110522482819SV_02.jpg
 16w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV18577 - Image
11/05/2020 22:40:04

 03w - 7  
OPEN
$15.55
$50.00
$0.00
$65.55","
 HV21083 - Image
11/05/2020 22:29:09
http://10.37.248.147/njta/202011/20201105/012_10w/013012_10wW2020110522290978SV_02.jpg
 10w - 12 
OPEN
$19.40
$50.00
$0.00
$69.40"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43392 - Image
11/05/2020 22:39:23
http://10.37.248.147/njta/202011/20201105/013_04w/013013_04wW2020110522392314SV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV19276 - Image
11/05/2020 21:21:13
http://10.37.248.147/njta/202011/20201105/18W_09w/01318W_09wW2020110521211318SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV45260 - Image
11/05/2020 20:38:42
http://10.37.248.147/njta/202011/20201105/013_08w/013013_08wW2020110520384239SV_02.jpg
 08w - 13 
OPEN
$12.70
$50.00
$0.00
$62.70","
 HV14995 - Image
11/05/2020 18:55:16
http://10.37.248.147/njta/202011/20201105/18W_09w/01318W_09wW2020110518551678SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV37600 - Image
11/05/2020 18:53:03
http://10.37.248.147/njta/202011/20201105/18W_09w/01318W_09wW2020110518530323SV_02.jpg
 09w - 18W
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV17791 - Image
11/05/2020 21:33:57
http://10.37.248.147/njta/202011/20201105/18W_08w/01318W_08wW2020110521335719SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV46026 - Image
11/05/2020 21:14:50
http://10.37.248.147/njta/202011/20201105/18W_08w/01318W_08wW2020110521145066SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV46048 - Image
11/05/2020 21:12:42
http://10.37.248.147/njta/202011/20201105/07A_13w/01307A_13wW2020110521124254SV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV02131 - Image
11/05/2020 21:02:03
http://10.37.248.147/njta/202011/20201105/07A_10w/01307A_10wW2020110521020301SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV36795 - Image
11/05/2020 20:56:21
http://10.37.248.147/njta/202011/20201105/012_13w/013012_13wW2020110520562102SV_02.jpg
 13w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV28705 - Image
11/05/2020 20:42:12
http://10.37.248.147/njta/202011/20201105/006_07w/013006_07wW2020110520421270SV_02.jpg
 07w - 6  
OPEN
$28.70
$50.00
$0.00
$78.70","
 HV40246 - Image
11/05/2020 19:32:19
http://10.37.248.147/njta/202011/20201105/07A_10w/01307A_10wW2020110519321953SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV37198 - Image
11/05/2020 19:15:11
http://10.37.248.147/njta/202011/20201105/013_08w/013013_08wW2020110519151106SV_02.jpg
 08w - 13 
OPEN
$25.35
$50.00
$0.00
$75.35","
 HV37962 - Image
11/05/2020 19:04:20
http://10.37.248.147/njta/202011/20201105/002_05w/013002_05wW2020110519042068SV_02.jpg
 05w - 2  
OPEN
$30.85
$50.00
$0.00
$80.85","
 HV15043 - Image
11/05/2020 18:37:48
http://10.37.248.147/njta/202011/20201105/18W_09w/01318W_09wW2020110518374823SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19601 - Image
11/05/2020 19:08:06
http://10.37.248.147/dr/202011/20201105/4___03W/0074___03WW2020110519080600SV_02.jpg
 03W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19276 - Image
11/05/2020 18:40:25
http://10.37.248.147/njta/202011/20201105/014_25w/013014_25wW2020110518402526SV_02.jpg
 25w - 14 
OPEN
$13.40
$50.00
$0.00
$63.40","
 HV37347 - Image
11/05/2020 18:00:09
http://10.37.248.147/njta/202011/20201105/012_13w/013012_13wW2020110518000979SV_02.jpg
 13w - 12 
OPEN
$1.65
$50.00
$0.00
$51.65","
 HV40484 - Image
11/05/2020 17:08:48
http://10.37.248.147/njta/202011/20201105/18W_09w/01318W_09wW2020110517084873SV_02.jpg
 09w - 18W
OPEN
$21.20
$50.00
$0.00
$71.20","
 HV45106 - Image
11/05/2020 16:38:41
http://10.37.248.147/njta/202011/20201105/008_03w/013008_03wW2020110516384115SV_02.jpg
 03w - 8  
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV21043 - Image
11/05/2020 16:07:26

 10w - 12 
OPEN
$19.40
$50.00
$0.00
$69.40"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19562 - Image
11/05/2020 18:29:26
http://10.37.248.147/njta/202011/20201105/18E_11w/01318E_11wW2020110518292626SV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV45081 - Image
11/05/2020 17:48:20
http://10.37.248.147/njta/202011/20201105/010_06w/013010_06wW2020110517482022SV_02.jpg
 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV37783 - Image
11/05/2020 17:24:07
http://10.37.248.147/njta/202011/20201105/18E_11w/01318E_11wW2020110517240726SV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV13426 - Image
11/05/2020 17:19:42
http://10.37.248.147/njta/202011/20201105/014_25w/013014_25wW2020110517194279SV_02.jpg
 25w - 14 
OPEN
$13.40
$50.00
$0.00
$63.40","
 HV01754 - Image
11/05/2020 17:12:44
http://10.37.248.147/njta/202011/20201105/18W_09w/01318W_09wW2020110517124475SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV46194 - Image
11/05/2020 17:02:41

 05n - BER
OPEN
$7.60
$50.00
$0.00
$57.60"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV18805 - Image
11/05/2020 16:43:15
http://10.37.248.147/njta/202011/20201105/07A_10w/01307A_10wW2020110516431585SV_02.jpg
 10w - 7A 
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV14936 - Image
11/05/2020 16:31:03
http://10.37.248.147/njta/202011/20201105/001_15w/013001_15wW2020110516310357SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV20830 - Image
11/05/2020 16:14:53
http://10.37.248.147/njta/202011/20201105/011_18w/013011_18wW2020110516145319SV_02.jpg
 18w - 11 
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV39956 - Image
11/05/2020 16:00:56
http://10.37.248.147/njta/202011/20201105/002_05w/013002_05wW2020110516005628SV_02.jpg
 05w - 2  
OPEN
$49.85
$50.00
$0.00
$99.85","
 HV37962 - Image
11/05/2020 15:37:17
http://10.37.248.147/njta/202011/20201105/013_08w/013013_08wW2020110515371773SV_02.jpg
 08w - 13 
OPEN
$7.70
$50.00
$0.00
$57.70"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV15158 - Image
11/05/2020 16:36:15
http://10.37.248.147/drjt/202011/20201105/TM__04W/020TM__04WN2020110516361577SV_02.jpg
 04W - T-M
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19385 - Image
11/05/2020 16:32:17
http://10.37.248.147/njta/202011/20201105/18E_11w/01318E_11wW2020110516321768SV_02.jpg
 11w - 18E
OPEN
$3.80
$50.00
$0.00
$53.80","
 HV37127 - Image
11/05/2020 10:53:42
http://10.37.248.147/njta/202011/20201105/18E_11w/01318E_11wW2020110510534283SV_02.jpg
 11w - 18E
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV45081 - Image
11/05/2020 10:51:52
http://10.37.248.147/njta/202011/20201105/18W_09w/01318W_09wW2020110510515237SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV01670 - Image
11/05/2020 15:36:57
http://10.37.248.147/njta/202011/20201105/18W_09w/01318W_09wW2020110515365743SV_02.jpg
 09w - 18W
OPEN
$25.55
$50.00
$0.00
$75.55","
 HV45260 - Image
11/05/2020 14:09:23

 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV45106 - Image
11/05/2020 14:05:19
http://10.37.248.147/njta/202011/20201105/003_07w/013003_07wW2020110514051935SV_02.jpg
 07w - 3  
OPEN
$25.55
$50.00
$0.00
$75.55","
 HV40685 - Image
11/05/2020 13:11:40
http://10.37.248.147/njta/202011/20201105/001_15w/013001_15wW2020110513114094SV_02.jpg
 15w - 1  
OPEN
$44.00
$50.00
$0.00
$94.00","
 HV44193 - Image
11/05/2020 13:06:49
http://10.37.248.147/njta/202011/20201105/006_07w/013006_07wW2020110513064987SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19532 - Image
11/05/2020 15:20:51
http://10.37.248.147/njta/202011/20201105/001_15w/013001_15wW2020110515205188SV_02.jpg
 15w - 1  
OPEN
$6.25
$50.00
$0.00
$56.25","
 HV44729 - Image
11/05/2020 14:42:46

 03w - 7  
OPEN
$2.90
$50.00
$0.00
$52.90","
 HV36369 - Image
11/05/2020 14:41:56
http://10.37.248.147/njta/202011/20201105/18W_09w/01318W_09wW2020110514415604SV_02.jpg
 09w - 18W
OPEN
$43.05
$50.00
$0.00
$93.05","
 HV19381 - Image
11/05/2020 14:40:29
http://10.37.248.147/njta/202011/20201105/012_14w/013012_14wW2020110514402944SV_02.jpg
